test;size;step;type;bubble;binaryInsert;radix;selection;heap;counting;merge;quick
test_3100_0;3100;1000;0;89245300;10134500;301700;17934400;798300;84400;499900;352800
test_4100_0;4100;1000;0;79291600;9317000;239700;18903700;674000;72000;421200;301000
test_50_1;50;50;1;9600;4200;7200;4800;5300;23100;4400;3300
test_100_1;100;50;1;37900;12500;10600;16300;11900;23600;8700;7400
test_150_1;150;50;1;84900;24000;13400;33100;20400;24700;14600;11500
test_200_1;200;50;1;152500;38900;13200;55900;26600;25500;18700;16300
test_250_1;250;50;1;234100;57000;17900;84300;35400;26900;26500;19400
test_300_1;300;50;1;849400;196200;43100;297500;110800;68700;80700;66300
test_100_1;100;1000;1;95900;32300;23500;41000;30200;59400;34100;19500
test_1100_1;1100;1000;1;4776200;863100;62400;1415300;198000;41500;127100;104400
test_2100_1;2100;1000;1;17554800;2926100;121300;5028900;415700;59600;256000;217600
test_3100_1;3100;1000;1;39097700;6186800;227600;11185400;717600;63200;406800;337600
test_4100_1;4100;1000;1;67821500;10917300;230300;18900100;889500;95400;534400;446300
test_50_2;50;50;2;3700;1400;7300;3600;5200;2100;3400;2100
test_100_2;100;50;2;13400;3100;10500;13000;11600;3400;6400;4000
test_150_2;150;50;2;30700;5600;11300;28400;18600;4200;10300;7000
test_200_2;200;50;2;54100;7300;13300;49300;25400;5000;13400;9600
test_250_2;250;50;2;88300;10700;19000;73700;33500;5900;16800;9000
test_300_2;300;50;2;126600;13400;21700;104800;41700;7000;20800;11000
test_100_2;100;1000;2;12800;2700;10400;12200;13000;2300;6200;3300
test_1100_2;1100;1000;2;3810400;181700;161200;3476800;481000;98700;201300;119100
test_2100_2;2100;1000;2;14632000;304900;305900;13670400;1075100;163000;456500;205000
test_3100_2;3100;1000;2;14032600;232700;200900;12266200;661100;83300;275000;101900
test_4100_2;4100;1000;2;22511100;224400;239900;18817100;794500;94700;322100;142900
test_50_3;50;50;3;11600;4400;7400;4100;4300;1200;3500;1300
test_100_3;100;50;3;47300;15800;10700;14400;12200;2400;6600;2300
test_150_3;150;50;3;103800;32100;13300;29400;16400;3500;10000;4600
test_200_3;200;50;3;183700;55100;15700;53200;23400;4700;12200;4900
test_250_3;250;50;3;284900;85100;15500;78600;31100;7200;17300;6700
test_300_3;300;50;3;916600;268300;38500;249000;84400;15400;45300;19500
test_100_3;100;1000;3;45300;14900;9100;13700;11800;2300;5800;2500
test_1100_3;1100;1000;3;5485500;3528800;195800;3655800;475900;48500;205100;82400
test_2100_3;2100;1000;3;43466200;9715200;203700;9289800;657700;90200;290500;109600
test_3100_3;3100;1000;3;56143000;18693500;471900;31968700;1572200;203600;702000;284800
test_4100_3;4100;1000;3;122386100;52117700;476300;35833900;1155700;143600;491800;180000
FINISH;0;0;0;0;0;0;0;0;0;0;0
test_50_0;50;50;0;19700;9200;16700;10200;10000;2200;11400;6400
test_100_0;100;50;0;48800;16900;14300;21700;15400;2700;14300;8500
test_150_0;150;50;0;255800;73500;38200;102700;56900;9300;48500;29200
test_200_0;200;50;0;428900;107200;52300;167400;77400;11800;64800;38100
test_250_0;250;50;0;680400;186600;51000;255100;100800;15000;80100;47600
test_300_0;300;50;0;888000;191000;58500;321200;111700;15700;85400;50100
test_100_0;100;1000;0;108800;35600;31500;48100;34200;6100;29600;18400
test_1100_0;1100;1000;0;13728200;2338300;203400;4493400;481900;61000;332100;217200
test_2100_0;2100;1000;0;37042400;4477900;224400;8990100;575800;65200;364100;250600
test_3100_0;3100;1000;0;82282400;11185900;353400;20195600;882300;94000;553800;395700
test_4100_0;4100;1000;0;123527200;11664700;298400;23032700;786000;83800;491400;351700
test_50_1;50;50;1;11000;4900;8400;5700;6100;26300;5500;3800
test_100_1;100;50;1;44100;14500;10900;19000;13700;27400;10600;8500
test_150_1;150;50;1;96800;27600;15400;38100;21800;28000;16500;13400
test_200_1;200;50;1;437500;116200;46100;158900;77500;72500;59000;46300
test_250_1;250;50;1;670000;164000;52700;240000;100500;75300;70900;55500
test_300_1;300;50;1;964600;219800;61500;344300;124300;78400;88100;73000
test_100_1;100;1000;1;109300;36600;30300;46700;34300;67800;28000;22000
test_1100_1;1100;1000;1;14065100;2740600;205800;4281700;575800;118900;388800;307300
test_2100_1;2100;1000;1;42151700;5397300;219500;9130800;1468500;196200;868700;717400
test_3100_1;3100;1000;1;59291100;7885900;214500;12948900;770500;88200;455500;388600
test_4100_1;4100;1000;1;70589800;11107200;232400;19187300;909300;96300;542800;447100
test_50_2;50;50;2;9200;4300;18900;9200;13300;5300;10400;5900
test_100_2;100;50;2;34400;7700;26500;33000;32600;8100;21000;13000
test_150_2;150;50;2;76800;13900;28100;70800;46200;10500;26600;18100
test_200_2;200;50;2;135500;20700;39300;124200;64600;12800;36600;26900
test_250_2;250;50;2;220900;27800;42800;183700;83300;14900;46500;31000
test_300_2;300;50;2;319000;34000;57600;259300;105500;17700;54100;28500
test_100_2;100;1000;2;32500;6400;26600;30800;29400;6000;15600;8700
test_1100_2;1100;1000;2;3818100;112100;152300;3486500;464500;99700;200200;117100
test_2100_2;2100;1000;2;14760400;301800;334100;13533000;1082000;155400;431600;184700
test_3100_2;3100;1000;2;25329700;351200;421900;20230000;1084800;90000;408800;147100
test_4100_2;4100;1000;2;51431300;641100;676100;42399600;1753200;121900;581700;255800
test_50_3;50;50;3;35500;13500;22800;12700;13800;3600;11000;6600
test_100_3;100;50;3;96400;31300;22100;29200;21300;4900;14400;6400
test_150_3;150;50;3;210800;70400;36600;74600;46300;6600;21300;9300
test_200_3;200;50;3;456400;136500;32700;126100;56800;11700;31100;12800
test_250_3;250;50;3;731800;206600;37100;191300;80900;14300;38800;16000
test_300_3;300;50;3;1009200;295300;52300;274700;91000;16900;47000;19000
test_100_3;100;1000;3;112000;36700;25700;33700;24800;5800;14600;6200
test_1100_3;1100;1000;3;13532900;3277100;139300;3138800;371500;55800;169000;66100
test_2100_3;2100;1000;3;39206900;9484500;201900;8455700;567800;76000;246900;94400
test_3100_3;3100;1000;3;102913300;19739100;321900;15857300;743900;97300;331900;130200
test_4100_3;4100;1000;3;91219400;38849200;295600;19814000;768700;93800;320500;125100
FINISH;0;0;0;0;0;0;0;0;0;0;0
test_50_0;50;50;0;8800;4100;7500;4600;4500;1000;5000;2800
test_100_0;100;50;0;34900;10800;9500;14500;10100;1900;9000;5700
test_150_0;150;50;0;190500;54600;28800;74600;42300;6800;39300;22400
test_200_0;200;50;0;323400;80200;33600;130700;58300;8900;45600;28500
test_250_0;250;50;0;509700;113800;47200;191300;77700;11000;55800;35100
test_300_0;300;50;0;743000;172500;43400;271400;95200;13300;72900;43300
